Dates,Scores,Reviews
"Mar 23, 2024",negative,"A cash grab with lame jokes... If you like the first one, then do yourself a favor and stay away from this Megamind."
"Mar 11, 2024",positive," Kids can talk about the concept of sequels. They can take away lessons about friendship and teamwork. The film offers an avenue to explore the techniques of animation. Heroes look out for each other. Heroes come in all shapes, sizes, and abilities. Same for villains, but villains only look out for themselves. Teamwork saves the day. Megamind learns to appreciate his friends and to express those feelings; he also learns the value of teamwork. Roxanne and Chum are loyal friends. Keiko learns not to listen to what others say about her and to only try to live up to her own expectations. Female characters prove themselves smarter and braver than some of their male counterparts. Animated characters are a variety of colors and shapes. A lead villain is a Black female, and a new tween character named Keiko (voiced by a Japanese American actor) says that because of her name and looks, she was teased and excluded, leading her to fulfill the negative expectations society had for her. A male villain is a mime with a stereotypical French accent. Female characters repeatedly correct, explain, pick up the slack for, outwit, and ""villain-splain"" information to the male characters. A female character is elected mayor to replace an inept male politician. First responders come to a city's aid. A tween online influencer fulfills stereotypes about her generation, which she says was ""born tech-savvy."" Cartoon violence includes all manner of threats, weapons, and injuries, but characters unfailingly survive and get back up to fight another day. There are falls, fights, electrocutions (showing flashes of a character's skeleton), hypnosis, explosions, laser-guns, and more. Kids are threatened by moving cars or falling billboards. Beloved characters face peril. Megamind and Roxanne pretend to be engaged, and there's discussion of ""romantic tension"" between them. They hug. Roxanne jokes that a tracking device Megamind has placed on her is a flattering ""invasion of my privacy."" A character makes a joke about putting on some pants. Parents need to know that Megamind vs. The Doom Syndicate is the sequel to 2010's Megamind and is connected to a spin-off series as well. It's chock full of cartoon violence that isn't too scary -- threats, weapons, and injuries -- and characters unfailingly survive and get back up to fight another day. There's mild language like ""butt,"" ""poop,"" ""halfwit,"" and ""idiot,"" and adults drink from plastic cups at a party called a ""rager."" Main character Megamind (voiced by Keith Ferguson) and his friend Roxanne (Laura Post) continue their potential romance, pretending to be engaged and hugging -- it's suggested that there's ""romantic tension"" between them. Expect positive messages about teamwork and valuing your friends. Animated characters include a Black woman as a lead villain. A tween character named Keiko (voiced by Japanese American actor Maya Aoki Tuttle) says that she was teased and excluded because of her name and looks. Female characters repeatedly correct, explain, pick up the slack for, and outwit their male counterparts. To stay in the loop on more movies like this, you can sign up for weekly Family Movie Night emails. Former bad guy Megamind (voiced by Keith Ferguson) is settling into his new life as a hero in Metro City when MEGAMIND VS THE DOOM SYNDICATE begins. But when his old villain gang breaks out of jail and comes to prepare ""phase 2"" of their original plans to take over Metro City, Megamind will have to think fast. He pretends his new hero status is a cover and that TV reporter/friend Roxanne (Laura Post) is his fiancée. Villains Lady Doppler (Emily Tuñon), Behemoth (Chris Sullivan), Pierre Pressure (Scott Adsit), and Lord Nighty-Knight aren't totally convinced, but they go along with his plot to send Metro City to the moon. Megamind is going to need Roxanne, buddy Ol' Chum (Josh Brener), and newcomer tween influencer Keiko (Maya Aoki Tuttle) to help him get out of this predicament. It's fun to see the return of this beloved animated character, both in this film and the companion series released at the same time. Even without the all-star cast of the 2010 original, Megamind vs. the Doom Syndicate offers good-natured, fast-paced, kid-friendly entertainment that squeezes in enough positive messages to give the mindless action some purpose. Characters new and old are endearing: Megamind's inherent goodness, his ""complicated"" relationship with Roxanne, tween influencer Keiko, over-achieving buddy Chum, and the slightly ridiculous gang of villains. The film, from the same writing team as the original, peppers in some goofy lines and concepts, like Lord Nighty-Knight's un-scary new name and his soft spot for teddy bears, and flipped expressions like the ""bad old days"" and ""darkness fades to light."" This time around, Megamind needs to learn lessons about teamwork and valuing one's friends, while Keiko's character gives a speech about only needing to live up to her own expectations. She also delivers what must be the film's cringiest, clichéd line: ""My generation was born tech-savvy."" Likewise, female characters woman-splaining concepts to their male counterparts is not an especially subtle theme. The ideas are perhaps more obvious than in the original, which might also make them a tad less interesting for older audiences, but Megamind's heart remains in the right place. Families can talk about how Megamind vs. The Doom Syndicate compares with the original. What's the same and what's different? What do you like better and worse about each? Common Sense Media's unbiased ratings are created by expert reviewers and aren't influenced by the product's creators or by any of our funders, affiliates, or partners. Common Sense is the nation's leading nonprofit organization dedicated to improving the lives of all kids and families by providing the trustworthy information, education, and independent voice they need to thrive in the 21st century."
"Mar 7, 2024",negative," DreamWorks as a studio is in a very weird place. Where their rival Disney is having a decidedly low moment DreamWorks is a mess of high and low quality releases with no seeming through-line between the movies and what they are doing with their brand. This was never more true than this week when we got 2 widely diverging sequels- both which nobody really asked for in the first place. Plus, we got Orion and the Dark a couple of weeks ago which they dumped on Netflix with hardly any publicity as if it was garbage (it wasn’t.) And who can forget last year when Ruby Gilman: Teenage Kraken was treated terribly by the studio and even Trolls: Band Together wasn’t given the publicity campaign you’d expect with that franchise (and it was terrible.) 
Everyone knows I am a big fan of the original Megamind. I’ve always felt it got unfairly lost in the wave of Minions and Despicable Me hype even though it is the superior of the two films. I even have the artbook for the original Megamind. I find it funny, inventive with great vocal performances. Unfortunately DreamWorks did not live up to the legacy of the original with this terrible sequel. It fails in pretty much every respect and isn’t even enjoyable as a cheap introduction to the upcoming Megamind Rules television series. It’s admittedly tough to craft a hero story around Megamind but what they come up with is so bland that the 85 minute runtime felt punishing. It isn’t funny and the loss of our original voicecast is not only obvious but a clear sign of a lack of investment by DreamWorks. I rarely use the word cash-grab but it is accurate in this instance. I know some will say ‘but it’s just a direct to streaming movie. You shouldn’t have expected much.’ I review TV movies for a living and some of them are great. Just because something is cheap doesn’t necessarily mean it is devoid of creativity or laughs- an engaging script is very cheap! If I was laughing I wouldn’t care about the different voices or the weak animation. Heck I’m someone that LOVED Son of Bigfoot and that looks like a direct to dvd animated film from the outside but it’s actually great! The fact is DreamWorks took Megamind and made junk and that offends me as an animation fan, critic and lover of the original film. How dare they! If there is a franchise from DreamWorks that is underrated it has to be Kung Fu Panda. I recently saw the first one on the big screen at Maven Cinemas and I thoroughly enjoyed it. It’s funny and Po isa very likable character. In my opinion all of the Kung fu Panda movies have been solid and I think I even enjoyed the last one more than most. I loved the story of Po and his 2 Dads and what it had to say. Now we have a 4th movie and once again they’ve made a solid entertaining entry in the series. In this situation Po is asked to successor to him as the Dragon Warrior and he isn’t comfortable in the teacher/master role. He doesn’t like change, which I think all of us can relate with. Then he meets a fox (who looks like a wolf) named Zhen voiced by Awkwafina and they confront a villain named The Chameleon voiced with gleeful abandon by Viola Davis. This is not a plot that will surprise or blow anyone away but it’s sweet and entertaining. I liked the way it was able to bring in the previous 3 films in both subtle and non-subtle ways and the script provided a good mixture of laughs and sweet moments. The animation and music are also up to the standards of the series. I really couldn’t ask for much more from a Kung fu Panda 4. So there you have it. The crazy thing is we have another DreamWorks film coming out later this year called The Wild Robot. It’s wild! If you enjoy my writing please support me on patreon and you will get some great perks along the way! Especially for things like festival coverage I cannot do it all on my own. Please take a look at the patreon here."
"Mar 7, 2024",negative,"The first had so much going for it, and this absolutely demolishes any momentum."
"Mar 6, 2024",neutral,"The effort is mostly about making noise, finding the writing unable to improve on the already low standards of the original film.
"
"Mar 5, 2024",negative," From the Movies We Would’ve Forgot Existed If It Wasn’t For That 14-Year-Old Billboard Still Hanging in Suburban Detroit Dept. comes Megamind vs. the Doom Syndicate (now streaming on Peacock), a direct-to-streaming regurgitation of a piece of wannabe IP from 2010. Please contain your excitement. The OG Megamind was a medium-sized hit thanks to Will Ferrell and Tina Fey voiceovers, and a release during the peak CG/3-D animation era. It was perfectly OK enough to make a little scratch, but not inspire a sequel – at least until Kabletown and their megacorp ilk started plumbing musty archives for franchise revivals to fill the content menus of their money-pit streaming services. MvtDS serves as a feature-length launching pad for the Megamind Rules! series, and none of it retains the original voice cast because, well, money, probably — but also possibly the catch-22 situation of A-list talent not wanting to touch mediocre material, while the mediocre material could have been gussied up with A-list talent. As the one guy once said, so it goes.  The Gist: MvtDS is set two days after Megamind, if you’re keeping track, and why wouldn’t you be? We get a recap: Megamind (Keith Ferguson) is a bulbous-headed alien whose subsequent social alienation turned him into a supervillain, but what with one thing and another, he switched sides and became a superhero. Standing beside him are TV newscaster Roxanne Ritchi (Laura Post) and his flunky Ol’ Chum (Josh Brener), who used to be called Minion, and there’s a meta-joke here about legal reasons for the name change that’s both obvious and not funny, because aren’t the Despicable Me Minions also owned by Universal? The answer to that is “Whatever,” which also is the likely response to the existence of a 14-years-in-the-works Megamind sequel, and also the movie’s M.O. Yet we slog on, because we must. Megamind is still a Coneheadish sort blurting malapropisms, and Chum is still a strange deep-sea fish in an upside-down bowl atop a robot-gorilla body – except Chum wants to be promoted from lickspittle to sidekick, and Megamind is too thoughtless and egotistical to do it. So Chum quits to plunge toilets at a bleak greasy spoon, and eventually uses his smarts to turn the place into a hot doughnut spot. Meanwhile, Roxanne helps Megamind reorient himself as a do-gooder, and the plot introduces a Poochiesque kid character, Keiko (Maya Aoki Tuttle), a relentlessly upbeat social media whiz and Megamind superfan who wants to join his heroic cause. If any villains happen to be around, Keiko no doubt will Instagram them to death. Speaking of villains. In the local prison, we meet the Doom Syndicate: Lady Doppler (Emily Tunon) controls the weather, Pierre Pressure (Scott Adsit) is a hypnotist mime, Behemoth (Chris Sullivan) is a strong guy made of lava rock and Lord Nighty-Knight (Patrick Warburton) is a big scary warrior type. They bust out and wreak havoc and don’t know Megamind is a good guy now. They recruit him to join the evil party and he doesn’t say no because he’s a megawuss. Even though his mind is mega, it takes him a while to realize that he might be able to thwart their dastardly plans from the inside. Will Megamind get over himself long enough to reunite with Chum and defeat the villains? NO SPOILERS of course, but the villains surely won’t stay defeated, since they have eight episodes of a series to populate now.  What Movies Will It Remind You Of?: It’s about time Megamind got a sequel – even Space Chimps got one. What’s next on the list of revivals nobody asked for? Shark Tale Too? Surf’s Up and Down? Monsters vs. Aliens vs. Your Tolerance for This Junk?  Performance Worth Watching Hearing: None of the voiceover talent really stands out here, but I guess Brener seems to be enjoying himself (and is a reasonable enough replacement for the original Minion/Chum, David Cross).  Our Take: MvtDS opens with Megamind speaking directly at us, and I couldn’t wait for him to shut up – only 82 more minutes to go! The movie is formulaic down to its molecular structure: Mayhemic action, some world-building for the spinoff series, poop jokes, puns, malapropisms that are barely a cut above the Family Circus comic panel, etc. The animation looks like a glorified episode of Paw Patrol. It follows a wearisome prefab plot, and its characters are off the TJ Maxx discount rack. It’ll blend right into the Peacock kiddie menu alongside (checks notes) Dino King, Boonie Bears, Kung Food, Jackie Chan’s Fantasia and other sausage-machine fodder you didn’t know existed until now, and that I might’ve just made up? (Note: Trick question – they’re all real!) The 2010 movie, a passable-at-best superhero spoof, suffered mightily in the wake of the relatively charming Despicable Me, which bulldozed it in the popularity sweepstakes. And it continues to suffer due to a lack of creativity and the sinking feeling that none of this is anybody’s vision. The Megamind pseudo-franchise smacks of an idea spawned by marketing wonks in a boardroom hoping to generate content broad enough to appeal to “everybody,” but especially if “everybody” is a potential advertiser or branding-tie-in affiliate. (Will children like it? Who cares! The only thing that matters is if people in other boardrooms like it!) It’s definitely not art, it’s barely entertainment, and if anything ever felt like capital-P Product, this is it.  Our Call: Megamind vs. the Doom Syndicate is vaguely comic genrica loitering in the Peacock menu, just waiting for exasperated parents to turn it on and keep the little monsters entertained so Mom can finally grab 10 minutes for herself and use the can in peace. SKIP IT."
"Mar 4, 2024",neutral," From the indie darling to the tips you need for day one of the biggest games to classic cheats and codes, Cultured Vultures has you covered when it comes to gaming. Join Cultured Vultures as we bring you some of the biggest news from the world of wrestling. Whether it’s WWE news or something from across the sea, let’s talk shop. Given that it was written by the same duo that wrote the first Megamind, it’s no surprise that Megamind vs. the Doom Syndicate has fingerprints of the charm and humor that made the original a cult film. Unfortunately, they’re too few and far between. Most of Megamind’s sequel is a cliched bore and has so many plot holes in regards to the first film that it’s hard to take this seriously as a proper sequel at all. In Megamind vs. the Doom Syndicate, the previously evil Megamind (Keith Ferguson) is no longer, well, evil. He’s now Metro City’s hero, keeping the citizens safe and stopping villains from committing crimes. When Megamind’s old evil group hears about this in the news, though, they assume Megamind is only pretending to be good and pay him a visit, and so Megamind has to pretend to still be evil, all while thinking of a way to defeat his old villain syndicate. The continuity errors from the first film are astounding. Not a single character mentions the Doom Syndicate all throughout the original, but Megamind apparently used to be their leader. The syndicate claims they’ve been waiting patiently for a signal from Megamind, but somehow missed the events of the first film when Megamind took over Metro City. This sequel also claims that villains have been popping up since Metroman’s defeat, but the only villains we saw in the first movie were Megamind and Titan, and Metroman was defeated very early on in the film. Even disregarding the continuity errors, though, Megamind vs. the Doom Syndicate is mostly just a slog to get through. The animation is a serious downgrade from the first film, and aside from one scene in the third act, there are no interesting camera angles or movements, either. That’s largely because, where the first film had all these great action scenes of characters flying or controlling grand contraptions, the Megamind sequel doesn’t actually have much for the characters to do. Instead, it’s mostly just Megamind doing his best to keep up the illusion of him still being evil, and a predictable subplot of Minion (now called Chum) quitting his work with Megamind and excelling in his new job at a restaurant. The set-up for this sequel feels more like a comedy than the first movie, and yet, the jokes also work a lot less. The majority of them are pretty groan-inducing, especially the ones that get repeated ad nauseam, and the new characters are too one-dimensional to be any fun watching. There are a few jokes that work here, however, and not just work, but boast traces of the witty writing from the first film. They’re not on the same level, but they do show both screenplays were made by the same hands, which is also evident in the way the returning characters are written. Megamind, Chum (Josh Brener), and Roxanne (Laura Post) aren’t nearly as fun this time around — and their voice acting isn’t nearly as good, either — but they also don’t seem too far removed from how they were in the first film, and a lot of the jokes that work stem from an understanding of these characters’ personalities. That said, they’ve also lost a considerable amount of their depth, mostly because they’re not given a lot to do other than try and defeat the Doom Syndicate. Megamind vs. the Doom Syndicate also serves as the pilot of the show Megamind Rules!, and because of that, most of the movie feels restricted by the need to set up the foundation of a follow-up property. There can’t be any intriguing character arcs since this is mostly just a glorified prologue, and what it’s setting up isn’t compelling enough to make you want to watch the show. Whether it be as a pilot of a show or a sequel film, though, Megamind vs. the Doom Syndicate has little to offer viewers that’s worth watching, especially if you’re a big fan of the first film. Some of the coverage you find on Cultured Vultures contains affiliate links, which provide us with small commissions based on purchases made from visiting our site. We cover gaming news, movie reviews, wrestling and much more.
 Gamezeen is a Zeen theme demo site. Zeen is a next generation WordPress theme. It’s powerful, beautifully designed and comes with everything you need to engage your visitors and increase conversions."
